,id,title,date,author,technique,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5
590,228525,Ohne Titel (Parochialstraße 21 und 22),1902/1903,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 23,6 cm","Blattmaß:  29,8 x 23,9 cm",,,
591,228563,Ohne Titel (Johann Traugott und Ernestine Louise Zille vor ihrem Haus in Rummelsburg),Sommer 1903,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,5 x 26,6 cm","Blattmaß:  23,8 x 29,9 cm",,,
592,228564,Ohne Titel (Johann Traugott und Ernestine Louise Zille in der Stube des Hauses in Rummelsburg),Sommer 1903,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
593,228568,"Ohne Titel (Heinrich Zille, Hulda im Hintergrund)",1905/1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,6 x 18,4 cm","Blattmaß:  29,9 x 23,8 cm",,,
594,228570,"Ohne Titel (Hulda Zille, sitzend)",1905/1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,2 x 18,2 cm","Blattmaß:  29,8 x 23,9 cm",,,
595,228576,"Ohne Titel (Hans, Walter und Margarete Zille)",1905/ 1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  18,3 x 25,6 cm","Blattmaß:  23,7 x 29,9 cm",,,
596,228577,"Ohne Titel (Portrait Walter, verwackelt, und Hans Zille)",1905/ 1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,6 x 18,3 cm","Blattmaß:  29,9 x 23,8 cm",,,
597,228579,"Ohne Titel (Portrait Hans Zille, Dreiviertel-Ansicht)",1905/ 1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,5 x 18,3 cm","Blattmaß:  29,9 x 23,8 cm",,,
598,228580,"Ohne Titel (Portrait Walter Zille, Dreiviertel-Ansicht)",1905/ 1906,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,6 x 18,3 cm","Blattmaß:  29,9 x 23,8 cm",,,
599,228581,Ohne Titel (Walter und Hans Zille und seine Frau Margarete sitzend),um 1915,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  23,7 x 18,4 cm","Blattmaß:  29,8 x 23,8 cm",,,
